Step,Deviation,Deviation Feedback,Distance,Distance_Deriv,Runtime,Nb Line,Nb Points,Matching,Rudder,Throttle,Brakes
76,0.0,-0.000900900903287692,17.0,0.0,17.999887466430664,3,50,0,0.03603603613150768,0.6000000000000001,0.0
77,0.0,-0.000900900903287692,17.0,0.0,15.999317169189453,3,50,0,0.03603603613150768,0.6000000000000001,0.0
78,0.0,-0.000900900903287692,17.0,0.0,17.994165420532227,3,50,0,0.03603603613150768,0.6000000000000001,0.0
79,0.0,-0.000900900903287692,17.0,0.0,20.000457763671875,3,50,0,0.03603603613150768,0.6000000000000001,0.0
80,0.0,-0.000900900903287692,17.0,0.0,16.99995994567871,3,50,0,0.03603603613150768,0.6000000000000001,0.0
81,0.0,-0.000900900903287692,17.0,0.0,17.99321174621582,3,50,0,0.03603603613150768,0.6000000000000001,0.0
82,0.0,-0.000900900903287692,17.0,0.0,17.540931701660156,3,50,0,0.03603603613150768,0.6000000000000001,0.0
83,0.0,-0.000900900903287692,17.0,0.0,17.99917221069336,3,50,0,0.03603603613150768,0.6000000000000001,0.0
84,0.0,-0.000900900903287692,17.0,0.0,40.00091552734375,3,50,0,0.03603603613150768,0.6000000000000001,0.0
85,0.0,-0.000900900903287692,17.0,0.0,15.999555587768555,3,50,0,0.03603603613150768,0.6000000000000001,0.0
86,0.0,-0.000900900903287692,17.0,0.0,18.004894256591797,3,50,0,0.03603603613150768,0.6000000000000001,0.0
87,0.0,-0.000900900903287692,17.0,0.0,16.992807388305664,3,50,0,0.03603603613150768,0.6000000000000001,0.0
88,0.0,-0.000900900903287692,17.0,0.0,21.999359130859375,3,50,0,0.03603603613150768,0.6000000000000001,0.0
89,0.0,-0.000900900903287692,17.0,0.0,21.001577377319336,3,50,0,0.03603603613150768,0.6000000000000001,0.0
90,0.0,-0.000900900903287692,17.0,0.0,20.026206970214844,3,45,0,0.03603603613150768,0.6000000000000001,0.0
91,0.0,-0.000900900903287692,17.0,0.0,18.09406280517578,3,45,0,0.03603603613150768,0.6000000000000001,0.0
92,0.0,-0.000900900903287692,17.0,0.0,17.00615882873535,3,45,0,0.03603603613150768,0.6000000000000001,0.0
93,0.0,-0.000900900903287692,17.0,0.0,18.007278442382812,3,45,0,0.03603603613150768,0.6000000000000001,0.0
94,0.0,-0.000900900903287692,17.0,0.0,16.99995994567871,3,45,0,0.03603603613150768,0.6000000000000001,0.0
95,0.0,-0.000900900903287692,17.0,0.0,16.996383666992188,3,45,0,0.03603603613150768,0.6000000000000001,0.0
96,0.0,-0.000900900903287692,17.0,0.0,17.000198364257812,3,45,0,0.03603603613150768,0.6000000000000001,0.0
97,0.0,-0.000900900903287692,17.0,0.0,17.994165420532227,3,45,0,0.03603603613150768,0.6000000000000001,0.0
